concept,lecture,pdf_file,pdf_page,page_title,evidence,source_type,confidence,bbox
training samples,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,Training nodes,printed,1.000,"[5.5,505.0,82.5,532.5]"
testing node,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,Testing nodes,printed,1.000,"[275.0,505.0,330.0,532.5]"
graph representation,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,"G = (V, E, A, X)",printed,1.000,"[5.5,615.0,165.0,642.5]"
graph neural network,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,GNN models,printed,1.000,"[5.5,697.5,330.0,752.5]"
hierarchical pooling,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,Hierarchical pooling (DiffPool 2018),printed,1.000,"[752.5,697.5,862.5,714.0]"
parameter sharing,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,This power stems from the feature aggregation and parameter sharing at the node level.,printed,1.000,"[5.5,752.5,330.0,780.0]"
output scores,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,C output scores,printed,1.000,"[412.5,780.0,467.5,807.5]"
representation learning,3,DGL_Lecture_3_Annotated.pdf,2,Graph-Level Prediction and Inductive Capability of GCNs,H_K \in \mathbb{R}^{n \times d_K} W \in \mathbb{R}^{d_K \times C},printed,1.000,"[357.5,835.0,522.5,862.5]"
operation order,3,DGL_Lecture_3_Annotated.pdf,3,GNN Layer Operations and Architecture,Text 'The operation order can change depending on the rationale and target task',printed,1.000,"[27.0,82.0,220.0,110.0]"
graph neural network,3,DGL_Lecture_3_Annotated.pdf,3,GNN Layer Operations and Architecture,Handwritten 'GNN' labels and printed 'Graph-based aggregation (the GNN hallmark)',mixed,1.000,"[150.0,150.0,450.0,250.0]"
message passing,3,DGL_Lecture_3_Annotated.pdf,3,GNN Layer Operations and Architecture,Purple circle labeled 'MSG passing' with a red 'A' inside,mixed,1.000,"[769.0,176.0,901.0,319.0]"
representation learning,3,DGL_Lecture_3_Annotated.pdf,3,GNN Layer Operations and Architecture,Yellow highlighted text 'Represent it better' under the 'Transform' circle,printed,1.000,"[532.0,209.0,642.0,247.0]"
linear aggregation,3,DGL_Lecture_3_Annotated.pdf,3,GNN Layer Operations and Architecture,Purple circle labeled 'AGG' with a red 'A' inside,mixed,1.000,"[357.0,220.0,412.0,247.0]"
message passing,3,DGL_Lecture_3_Annotated.pdf,3,GNN Layer Operations and Architecture,Text 'Integrate information from self & neighbors',printed,1.000,"[302.0,330.0,467.0,374.0]"
batch normalization,3,DGL_Lecture_3_Annotated.pdf,3,GNN Layer Operations and Architecture,Orange circle labeled 'BN' with text 'Stabilize the optimization & control embedding variance between layers',mixed,0.950,"[807.0,467.0,917.0,550.0]"
prediction head,3,DGL_Lecture_3_Annotated.pdf,3,GNN Layer Operations and Architecture,Red circle labeled 'Prediction head',printed,1.000,"[247.0,532.0,357.0,642.0]"
dropout,3,DGL_Lecture_3_Annotated.pdf,3,GNN Layer Operations and Architecture,Orange circle labeled 'Dropout' with text 'Drop nodes to regularize & increase expressiveness',mixed,0.950,"[681.0,725.0,835.0,917.0]"
activation function,3,DGL_Lecture_3_Annotated.pdf,3,GNN Layer Operations and Architecture,Purple circle labeled 'Non-linearity',printed,1.000,"[412.0,752.0,522.0,862.0]"
embedding size,3,DGL_Lecture_3_Annotated.pdf,3,GNN Layer Operations and Architecture,Handwritten note '(embedding dim)' next to 'identify important patterns',handwritten,0.900,"[593.0,901.0,681.0,956.0]"
representation learning,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,Transform,printed,1.000,"[176.0,66.0,231.0,121.0]"
local embedding aggregation,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,Local embedding aggregation at the node level,handwritten,0.950,"[615.0,110.0,697.5,192.5]"
node embedding,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,Linearly transform the embeddings of a current node,printed,1.000,"[780.0,110.0,890.0,137.5]"
linear aggregation,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,AGG,printed,1.000,"[44.0,121.0,99.0,176.0]"
message passing,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,MSG passing,printed,1.000,"[291.5,121.0,341.0,143.0]"
graph convolutional network,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,Graph convolutional network,printed,1.000,"[780.0,220.0,890.0,247.5]"
graph neural network,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,GNN layer operations,printed,1.000,"[176.0,247.5,231.0,302.5]"
global embedding aggregation,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,Global embedding aggregation at the graph level,handwritten,0.950,"[477.5,275.0,560.0,357.5]"
batch normalization,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,BN,printed,1.000,"[341.0,302.5,396.0,357.5]"
prediction head,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,Prediction head,printed,1.000,"[44.0,357.5,99.0,412.5]"
activation function,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,Non-linearity,printed,1.000,"[176.0,412.5,231.0,467.5]"
dropout,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,Dropout,printed,1.000,"[291.5,412.5,341.0,434.5]"
regularization,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,Drop nodes to regularize,printed,1.000,"[192.5,450.0,302.5,477.5]"
degree matrix,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,The new GCN layer can be written using the degree matrix as:,printed,1.000,"[455.5,560.0,670.0,576.5]"
kipf normalization,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,Kipf normalization,printed,1.000,"[357.5,626.0,467.5,648.0]"
softmax normalization,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,attention weights that contribute to each output embedding are normalized to be positive and sum to one using the softmax operation.,printed,1.000,"[752.5,752.5,989.0,780.0]"
attention masking,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,The attentions are masked so that each node only attends to itself and its neighbors.,printed,1.000,"[752.5,862.5,989.0,879.0]"
global max pooling,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,Max pooling,printed,1.000,"[357.5,879.0,467.5,901.0]"
graph attention network,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,The graph attention network combines both of these mechanisms,printed,1.000,"[752.5,934.0,989.0,978.0]"
adjacency matrix,3,DGL_Lecture_3_Annotated.pdf,4,Graph Neural Network Aggregation and Attention Mechanisms,based on the adjacency matrix (graph topology),printed,1.000,"[752.5,961.5,989.0,978.0]"
graph-based aggregation,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Graph-based aggregation (the GNN hallmark),printed,1.000,"[27.5,99.0,99.0,121.0]"
stochastic gradient descent,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Stochastic gradient descent,printed,1.000,"[412.5,99.0,522.5,121.0]"
message passing,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,MSG passing,printed,1.000,"[286.0,121.0,341.0,143.0]"
redundancy,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,redundancy between neighboring training nodes (points),handwritten,0.900,"[587.5,137.5,725.0,154.0]"
receptive field,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,receptive field of a node in a given layer,printed,1.000,"[412.5,209.0,522.5,231.0]"
graph expansion problem,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Graph expansion problem,printed,1.000,"[769.0,247.5,862.5,264.0]"
batch normalization,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,BN,printed,1.000,"[341.0,264.0,374.0,286.0]"
memory usage,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,increase the memory usage and the compute budget,printed,1.000,"[769.0,280.5,917.5,297.0]"
exponential time complexity,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,exponential time complexity to the GCN depth,printed,1.000,"[807.5,297.0,972.5,313.5]"
hidden layer,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,"hidden layer 1, hidden layer 2",printed,1.000,"[560.0,302.5,670.0,319.0]"
prediction head,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Prediction head,printed,1.000,"[27.5,319.0,82.5,341.0]"
random neighborhood sampling,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Random neighborhood sampling,printed,1.000,"[824.0,357.5,917.5,374.0]"
dropout,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Dropout,printed,1.000,"[286.0,374.0,341.0,396.0]"
node embedding computation graph,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Node embedding computation graph,printed,1.000,"[412.5,374.0,522.5,396.0]"
graphsage,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,"GraphSAGE (Hamilton et al., 2017)",printed,1.000,"[752.5,385.0,862.5,401.5]"
overlap,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,overlap,handwritten,0.900,"[697.5,412.5,725.0,429.0]"
activation function,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Non-linearity,printed,1.000,"[154.0,429.0,209.0,451.0]"
regularization,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Drop nodes to regularize & increase expressiveness,printed,1.000,"[165.0,455.5,330.0,477.5]"
mini-batch gradient descent,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Mini-batch gradient descent,printed,1.000,"[412.5,484.0,522.5,506.0]"
loss objective,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,To train a model by optimizing the loss objective,printed,1.000,"[55.0,560.0,220.0,576.5]"
batch gradient descent,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Batch gradient descent,printed,1.000,"[192.5,615.0,302.5,642.5]"
parameter update,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Update w_{t+1} = w_t - η∇L,printed,1.000,"[55.0,675.5,137.5,692.0]"
graph partitioning,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Graph partitioning,printed,1.000,"[851.5,752.5,917.5,769.0]"
epoch,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,an epoch is a complete pass through the entire training dataset,printed,1.000,"[192.5,769.0,302.5,785.5]"
convergence,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Balanced Convergence: It strikes a balance between the stable convergence of batch training and the faster fluctuating convergence of stochastic training.,printed,1.000,"[330.0,780.0,467.5,802.0]"
disjoint subsets,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Cluster the graph nodes into disjoint subsets of nodes before processing.,printed,1.000,"[780.0,780.0,972.5,796.5]"
noise in training,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,"Noisy Updates: The updates can be noisy, leading to more erratic convergence behavior.",printed,1.000,"[55.0,807.5,137.5,824.0]"
stability,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Stability: It provides stable error gradients and convergence,printed,1.000,"[192.5,807.5,302.5,824.0]"
computational efficiency,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Computational Efficiency: More computationally efficient,printed,1.000,"[330.0,807.5,467.5,824.0]"
gpu acceleration,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,parallel processing and computing using GPUs,printed,1.000,"[330.0,824.0,467.5,840.5]"
overfitting,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Risk of Overfitting: since the model is repeatedly exposed to the entire dataset in the same order,printed,1.000,"[192.5,835.0,302.5,851.5]"
hyperparameters,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Hyperparameter: The size of the mini-batch can affect the performance and efficiency of the training process.,printed,1.000,"[330.0,851.5,467.5,868.0]"
subgraph sampling,4,DGL_Lecture_4_Annotated.pdf,1,GNN Training Strategies and Batching,Mini-batch SGD uses the subgraph that forms the union of the k-hop neighbors,printed,1.000,"[412.5,917.5,522.5,934.0]"
subgraph sampling,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Subgraph sampling,printed,1.000,"[440.0,55.0,522.5,82.5]"
graph partitioning,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Graph partitioning,printed,1.000,"[522.5,55.0,550.0,82.5]"
linear aggregation,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,AGG,printed,1.000,"[27.5,137.5,110.0,192.5]"
message passing,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,MSG passing,printed,1.000,"[275.0,137.5,357.5,192.5]"
graph clustering,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,identified by a graph clustering algorithm,printed,1.000,"[455.5,137.5,697.5,154.0]"
graph neural network,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,GNN layer operations,printed,1.000,"[165.0,220.0,247.5,302.5]"
graph convolutional network,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Cluster-GCN: An Efficient Algorithm for Training Deep and Large Graph Convolutional Networks,printed,1.000,"[455.5,264.0,697.5,286.0]"
batch normalization,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,BN,printed,1.000,"[330.0,275.0,412.5,357.5]"
prediction head,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Prediction head,printed,1.000,"[27.5,302.5,110.0,357.5]"
empirical mean,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,the empirical mean m_h,printed,1.000,"[741.5,357.5,807.5,368.5]"
standard deviation,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,and standard deviation s_h are computed,printed,1.000,"[741.5,368.5,862.5,379.5]"
activation function,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Non-linearity,printed,1.000,"[110.0,385.0,192.5,440.0]"
dropout,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Dropout,printed,1.000,"[275.0,385.0,357.5,440.0]"
layer sampling,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Layer sampling,printed,1.000,"[440.0,385.0,522.5,412.5]"
fastgcn,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,"FastGCN (Chen et al., 2018)",printed,1.000,"[440.0,412.5,522.5,440.0]"
node sampling,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Node sampling: Randomly select a subset of target nodes...,mixed,1.000,"[0.0,670.0,181.5,945.0]"
regularization,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Regularization: BN injects noise to the training process,printed,1.000,"[758.0,725.0,945.0,752.5]"
graphsage,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,"Examples: GraphSAGE (Hamilton et al., 2017)",mixed,1.000,"[0.0,780.0,181.5,791.0]"
graphsaint,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,"Examples: GraphSAINT (Zeng et al., 2019)",mixed,1.000,"[363.0,780.0,544.5,791.0]"
ladies,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,"LADIES (Zou et al., 2019): layer-dependent importance sampling",mixed,1.000,"[181.5,791.0,363.0,802.0]"
computational efficiency,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Computational Efficiency: Node sampling reduces the computational cost...,mixed,1.000,"[0.0,835.0,181.5,890.0]"
bipartite graph,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,constructs a bipartite graph among the nodes between the two layers,printed,1.000,"[505.0,862.5,670.0,890.0]"
covariate shift,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Stable covariate shift with BN,printed,1.000,"[780.0,862.5,945.0,879.0]"
memory usage,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Memory Efficiency: It allows for more efficient memory usage...,mixed,1.000,"[0.0,890.0,181.5,917.5]"
scalability,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Scalability: It allows GNNs to scale to very large graphs...,mixed,1.000,"[363.0,890.0,544.5,917.5]"
redundancy,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Redundant computations: The recursive nature of node-wise sampling brings in redundancy...,mixed,1.000,"[0.0,917.5,181.5,945.0]"
information loss,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Information Loss: Sampling may result in information loss...,mixed,1.000,"[0.0,945.0,544.5,956.0]"
sampling bias,4,DGL_Lecture_4_Annotated.pdf,2,GNN Training: Sampling Strategies and Batch Normalization,Sampling Bias: The sampling process may introduce biases...,mixed,1.000,"[0.0,956.0,544.5,967.0]"
gnn expressiveness,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,GNN expressive power or expressiveness,mixed,1.000,"[450.0,0.0,1000.0,550.0]"
adjacency matrix,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,distinguish between different graph structures,printed,1.000,"[450.0,0.0,1000.0,550.0]"
graph neural network layer,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,A single GNN layer can take the following form:,printed,1.000,"[330.0,55.0,522.5,82.5]"
graph-based aggregation,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,Graph-based aggregation (the GNN hallmark),printed,1.000,"[27.5,110.0,110.0,165.0]"
message passing,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,MSG passing,mixed,1.000,"[247.5,110.0,330.0,165.0]"
activation function,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,Activation,printed,1.000,"[330.0,220.0,412.5,247.5]"
attention mechanism,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,Attention,printed,1.000,"[330.0,247.5,412.5,275.0]"
prediction head,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,Define the target learning task & its params,printed,1.000,"[27.5,275.0,110.0,330.0]"
batch normalization,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,Stabilize the optimization & control embedding variance between layers,printed,1.000,"[302.5,275.0,385.0,330.0]"
multilayer perceptron,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,Example: add MLP layers before and/or after a GNN layer.,printed,1.000,"[330.0,330.0,522.5,357.5]"
activation function,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,Capture complexity & identify important patterns,printed,1.000,"[110.0,385.0,192.5,440.0]"
dropout,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,Drop nodes to regularize & increase expressiveness,printed,1.000,"[247.5,385.0,330.0,440.0]"
regularization,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,Aim: regularize a neural network to avoid overfitting.,printed,1.000,"[330.0,440.0,522.5,467.5]"
overfitting,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,a neural network to avoid overfitting,printed,1.000,"[330.0,450.0,550.0,477.5]"
node embedding computation graph,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,Node embedding computation graph,printed,1.000,"[450.0,450.0,1000.0,1000.0]"
linear layer,4,DGL_Lecture_4_Annotated.pdf,3,GNN Layer Architecture and Dropout Regularization,"In the absence of a BN layer, Dropout is applied to the linear layer directly",printed,1.000,"[330.0,725.0,550.0,752.5]"
unsupervised learning,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,SSL => training samples can be unlabeled,handwritten,0.900,"[55.0,27.5,275.0,44.0]"
test set inference,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,Handwritten notation '$h_K^{(test)}$' indicating the output representation for test data.,handwritten,0.900,"[697.5,27.5,780.0,55.0]"
inductive learning,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,Inductive setting,printed,1.000,"[93.5,55.0,165.0,66.0]"
transductive learning,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,Transductive setting,printed,1.000,"[247.5,55.0,330.0,66.0]"
graph classification,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,Graph classification,printed,1.000,"[467.5,110.0,522.5,121.0]"
graph neural network,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,Graph neural network,printed,1.000,"[412.5,137.5,440.0,165.0]"
test graph,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,Test graph,printed,1.000,"[165.0,220.0,209.0,231.0]"
training graphs,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,Training graphs,printed,1.000,"[55.0,247.5,110.0,258.5]"
logistic activation,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,Printed text 'sig' at the beginning of the formula line.,printed,1.000,"[450.0,275.0,477.5,291.5]"
node classification,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,Node classification task,printed,1.000,"[110.0,302.5,192.5,313.5]"
learned weights,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,learned weights,printed,1.000,"[385.0,302.5,440.0,313.5]"
global pooling,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,"Visual operation showing multiplication by a '1' vector and division by N, representing averaging node embeddings to form a graph representation.",mixed,0.950,"[505.0,302.5,670.0,440.0]"
node embedding,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,embeddings,printed,1.000,"[467.5,357.5,495.0,368.5]"
bias,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,Handwritten label 'bias' under the term $\beta_K 1^T$ in the formula breakdown.,handwritten,1.000,"[302.5,862.5,357.5,917.5]"
batching,4,DGL_Lecture_4_Annotated.pdf,4,Inductive vs. Transductive Learning and Graph Classification,Printed text 'How to batch nodes...' and handwritten label 'test nodes' on the matrix.,mixed,0.950,"[455.5,945.0,560.0,961.5]"
transformation invariance,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,Reminder: Transformation invariance in Euclidean deep learning; x is invariant to a transformation t[x] if: f[t[x]] = f[x],mixed,1.000,"[27.5,55.0,247.5,137.5]"
node permutation invariance,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,"GNNs need to be permutation-invariant, thereby learning representations (embeddings) that do not depend on the indexing of the graph nodes.",mixed,1.000,"[275.0,55.0,522.5,137.5]"
permutation,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,Permutations π are bijections from a set to itself.,mixed,1.000,"[681.0,71.5,917.5,110.0]"
graph neural network,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,GNNs need to be permutation invariant...; each GCN layer (including its operations) computing its embedding is permutation invariant.,mixed,1.000,"[275.0,82.5,522.5,330.0]"
node embedding,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,learning representations (embeddings) that do not depend on the indexing of the graph nodes; computing its embedding is permutation invariant.,mixed,1.000,"[275.0,82.5,522.5,330.0]"
associativity,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,Permutation is an associative function: π ∘ (σ ∘ δ) = (π ∘ σ) ∘ δ,mixed,1.000,"[681.0,104.5,917.5,132.0]"
non-commutativity,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,Permutation is a commutative function: π ∘ σ ≠ σ ∘ π,mixed,1.000,"[681.0,132.0,917.5,159.5]"
adjacency matrix,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,Visual representation of adjacency matrices Ai and A'i corresponding to different node orderings.,printed,1.000,"[302.5,137.5,467.5,220.0]"
computation graph,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,The node computational graphs using 2 layers,printed,1.000,"[642.5,231.0,780.0,247.5]"
feature matrix,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,Xi and X'i labeled as 'd features' feeding into the GNN block.,printed,1.000,"[302.5,247.5,467.5,330.0]"
node permutation equivariance,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,Node permutation equivariance,printed,1.000,"[560.0,341.0,917.5,363.0]"
transformation equivariance,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,Transformation equivariance in Euclidean deep learning,printed,1.000,"[560.0,374.0,780.0,390.5]"
node classification,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,For node classification and edge prediction tasks,printed,1.000,"[807.5,390.5,917.5,407.0]"
edge prediction,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,For node classification and edge prediction tasks,printed,1.000,"[807.5,390.5,917.5,407.0]"
graph classification,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,"Case study (graph classification); D = {(G1, y1), ..., (Gn, yn)}",mixed,1.000,"[27.5,412.5,247.5,522.5]"
linear aggregation,5,DGL_Lecture_5_Annotated.pdf,1,Permutation Invariance and Equivariance in Graph Neural Networks,the final layer aggregates information from across the graph,printed,1.000,"[807.5,412.5,972.5,429.0]"
